Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
4WI10591 [PerfumersWorld],Koavone,,,PerfumersWorld,0.18,USD (per g),0.18
4BB00088 [PerfumersWorld],L-Carvone,,,PerfumersWorld,0.22,USD (per g),0.22
6LL00487 [PerfumersWorld],L-Linalool Fleuressence,,,PerfumersWorld,0.20,USD (per g),0.20
8UQ08219 [PerfumersWorld],Labdanum Absolute,,,PerfumersWorld,1.10,USD (per g),1.10
5UQ07791 [PerfumersWorld],Labdanum Absolute 10% in DPG,,,PerfumersWorld,0.18,USD (per g),0.18
6UH18500 [PerfumersWorld],LABDANUM F-TEC,,,PerfumersWorld,0.32,USD (per g),0.32
6UH09680 [PerfumersWorld],Labdanum Fleuressence,,,PerfumersWorld,0.32,USD (per g),0.32
2UQ00264 [PerfumersWorld],Labdanum Resinoid,,,PerfumersWorld,0.68,USD (per g),0.68
5UQ12486 [PerfumersWorld],Labdanum Resinoid 10% in DEP,,,PerfumersWorld,0.12,USD (per g),0.12
5UQ07566 [PerfumersWorld],Labdanum Resinoid 10% in DPG,,,PerfumersWorld,0.12,USD (per g),0.12
6DD18141 [PerfumersWorld],LACTONE F-TEC ,,,PerfumersWorld,0.12,USD (per g),0.12
6DD08390 [PerfumersWorld],Lactone Fleuressence,,,PerfumersWorld,0.14,USD (per g),0.14
1AA06214 [PerfumersWorld],Lauric Acid,,,PerfumersWorld,0.09,USD (per g),0.09
5AA12488 [PerfumersWorld],Lauric Acid 10% in DPG,,,PerfumersWorld,0.06,USD (per g),0.06
8HY00554 [PerfumersWorld],Lavandin Absolute,,,PerfumersWorld,1.60,USD (per g),1.60
7HB00265 [PerfumersWorld],Lavandin Essential Oil,,,PerfumersWorld,0.24,USD (per g),0.24
7HB07675 [PerfumersWorld],Lavandin Grosso Essential Oil,,,PerfumersWorld,0.46,USD (per g),0.46
7HB08129 [PerfumersWorld],Lavandin Super,,,PerfumersWorld,0.20,USD (per g),0.20
4HW03807 [PerfumersWorld],Lavender Aldehyde,,,PerfumersWorld,0.80,USD (per g),0.80
5HW23697 [PerfumersWorld],Lavender Aldehyde 10% in DPG,,,PerfumersWorld,0.15,USD (per g),0.15
7HL00267 [PerfumersWorld],Lavender Essential Oil,,,PerfumersWorld,0.37,USD (per g),0.37
6HL18238 [PerfumersWorld],LAVENDER F-TEC,,,PerfumersWorld,0.30,USD (per g),0.30
6HL09061 [PerfumersWorld],Lavender Fleuressence,,,PerfumersWorld,0.30,USD (per g),0.30
8HY09000 [PerfumersWorld],Lavender Green Absolute,,,PerfumersWorld,1.86,USD (per g),1.86
7HB00269 [PerfumersWorld],Lavender Spike Essential Oil,,,PerfumersWorld,0.45,USD (per g),0.45
4GI15439 [PerfumersWorld],Leafovert,,,PerfumersWorld,0.74,USD (per g),0.74
6UT18496 [PerfumersWorld],LEATHER F-TEC,,,PerfumersWorld,0.45,USD (per g),0.45
6UT12424 [PerfumersWorld],Leather Fleuressence,,,PerfumersWorld,0.37,USD (per g),0.37
7CC00271 [PerfumersWorld],Lemon Essential Oil,,,PerfumersWorld,0.27,USD (per g),0.27
6CC18122 [PerfumersWorld],LEMON F-TEC ,,,PerfumersWorld,0.16,USD (per g),0.16
7CC24029 [PerfumersWorld],Lemon FCF oil Sicilian,,,PerfumersWorld,0.18,USD (per g),0.18
6CC09059 [PerfumersWorld],Lemon Fleuressence,,,PerfumersWorld,0.24,USD (per g),0.24
7CC24027 [PerfumersWorld],Lemon Terpeneless oil Sicilian,,,PerfumersWorld,0.44,USD (per g),0.44
7CC24031 [PerfumersWorld],Lemon Verdello oil Sicilian,,,PerfumersWorld,0.18,USD (per g),0.18
7CC00272 [PerfumersWorld],Lemongrass Essential Oil,,,PerfumersWorld,0.21,USD (per g),0.21
3CC06770 [PerfumersWorld],Lemonile,,,PerfumersWorld,0.20,USD (per g),0.20
7SY07764 [PerfumersWorld],Lesser Galangal Essential Oil,,,PerfumersWorld,0.85,USD (per g),0.85
4GI24147 [PerfumersWorld],Liffarome,,,PerfumersWorld,0.95,USD (per g),0.95
6FG18210 [PerfumersWorld],LIGHT AND AIRY F-TEC ,,,PerfumersWorld,0.12,USD (per g),0.12
6FG11947 [PerfumersWorld],Light and Airy Fleuressence,,,PerfumersWorld,0.08,USD (per g),0.08
6LJ18322 [PerfumersWorld],LIGHT BLENDER F-TEC ,,,PerfumersWorld,0.15,USD (per g),0.15
6LJ09076 [PerfumersWorld],Light Blender Fleuressence,,,PerfumersWorld,0.30,USD (per g),0.30
6LL18018 [PerfumersWorld],LIGHT CRISP FLORAL F-TEC,,,PerfumersWorld,0.12,USD (per g),0.12
6LL00278 [PerfumersWorld],Light Crisp Floral Fleuressence,,,PerfumersWorld,0.12,USD (per g),0.12
6GK18228 [PerfumersWorld],LILAC F-TEC ,,,PerfumersWorld,0.18,USD (per g),0.18
6GK09255 [PerfumersWorld],Lilac Fleuressence,,,PerfumersWorld,0.18,USD (per g),0.18
3MA00273 [PerfumersWorld],Lilial,,,PerfumersWorld,0.19,USD (per g),0.19
6MA20144 [PerfumersWorld],Lilial Substitute IFRA,,,PerfumersWorld,0.21,USD (per g),0.21
6NN18625 [PerfumersWorld],LILY F-TEC ,,,PerfumersWorld,0.15,USD (per g),0.15
6NN09110 [PerfumersWorld],Lily Fleuressence,,,PerfumersWorld,0.19,USD (per g),0.19
6MA22621 [PerfumersWorld],Lilylal ND,,,PerfumersWorld,0.20,USD (per g),0.20
6MG18474 [PerfumersWorld],Lilyreal IFRA,,,PerfumersWorld,0.23,USD (per g),0.23
6MG22777 [PerfumersWorld],Lilyreal ND,,,PerfumersWorld,0.23,USD (per g),0.23
7CK00274 [PerfumersWorld],Lime Distilled Essential Oil,,,PerfumersWorld,0.33,USD (per g),0.33
4CK00275 [PerfumersWorld],Lime Oxide,,,PerfumersWorld,0.50,USD (per g),0.50
5CK21690 [PerfumersWorld],Lime Oxide 10% in TEC,,,PerfumersWorld,0.08,USD (per g),0.08
6CK18135 [PerfumersWorld],LIME ZEST F-TEC ,,,PerfumersWorld,0.15,USD (per g),0.15
6CK12391 [PerfumersWorld],Lime Zest Tops Fleuressence,,,PerfumersWorld,0.18,USD (per g),0.18
4LL00277 [PerfumersWorld],Linalool Oxide,,,PerfumersWorld,0.60,USD (per g),0.60
3LL00278 [PerfumersWorld],Linalool Synthetic,,,PerfumersWorld,0.12,USD (per g),0.12
3LF00279 [PerfumersWorld],Linalyl Acetate,,,PerfumersWorld,0.10,USD (per g),0.10
