Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
"Galaxolide, Musk Gx (Pure, HHCB, Hexamethylindanopyran) [MySkinRecipes]","Galaxolide, Musk Gx (Pure, HHCB, Hexamethylindanopyran)",1222-05-5,,MySkinRecipes,1950.0,THB (per kg),1.95
Galbanum Decatriene (FEMA-3795) [MySkinRecipes],Galbanum Decatriene (FEMA-3795),16356-11-9,3795.0,MySkinRecipes,198950.0,THB (per kg),198.95
Galbanum Resinoid [MySkinRecipes],Galbanum Resinoid,9000-24-2,,MySkinRecipes,6750.0,THB (per kg),6.75
Galbascone (Dynascone) [MySkinRecipes],Galbascone (Dynascone),56973-85-4,,MySkinRecipes,45860.0,THB (per kg),45.86
Galbex183 [PerfumersWorld],Galbex183,Synthetic Mixture,,PerfumersWorld,1.0,USD (per g),34.0
Gamma Decalactone [PerfumersWorld],Gamma Decalactone,706-14-9,,PerfumersWorld,0.12,USD (per g),4.08
Gamma Decalactone 10% in DPG [PerfumersWorld],Gamma Decalactone 10% in DPG,706-14-9*10,,PerfumersWorld,0.11,USD (per g),3.74
Gamma Dodecalactone [PerfumersWorld],Gamma Dodecalactone,2305-05-7,,PerfumersWorld,0.8,USD (per g),27.2
Gamma Octalactone [PerfumersWorld],Gamma Octalactone,104-50-7,,PerfumersWorld,0.47,USD (per g),15.98
Gamma Octalactone 10% in DPG [PerfumersWorld],Gamma Octalactone 10% in DPG,104-50-7*10,,PerfumersWorld,0.08,USD (per g),2.72
Gamma-decalactone (FEMA-2360) [MySkinRecipes],Gamma-decalactone (FEMA-2360),706-14-9,2360.0,MySkinRecipes,1550.0,THB (per kg),1.55
Gamma-dodecalactone (FEMA-2400) [MySkinRecipes],Gamma-dodecalactone (FEMA-2400),2305-05-7,2400.0,MySkinRecipes,6840.0,THB (per kg),6.84
Gamma-heptalactone (FEMA-2539) [MySkinRecipes],Gamma-heptalactone (FEMA-2539),105-21-5,2539.0,MySkinRecipes,1580.0,THB (per kg),1.58
Gamma-hexalactone (FEMA-2556) [MySkinRecipes],Gamma-hexalactone (FEMA-2556),695-06-7,2556.0,MySkinRecipes,3650.0,THB (per kg),3.65
"Gamma-nonalactone (aldehyde C-18, FEMA 2781) [MySkinRecipes]","Gamma-nonalactone (aldehyde C-18, FEMA 2781)",104-61-0,2781.0,MySkinRecipes,1890.0,THB (per kg),1.89
Gamma-octalactone (FEMA-2796) [MySkinRecipes],Gamma-octalactone (FEMA-2796),104-50-7,2796.0,MySkinRecipes,1740.0,THB (per kg),1.74
Gamma-terpinene (FEMA-3559) [MySkinRecipes],Gamma-terpinene (FEMA-3559),99-85-4,3559.0,MySkinRecipes,1550.0,THB (per kg),1.55
Gamma-undecalactone (aldehyde C-14 (so-called)) [MySkinRecipes],Gamma-undecalactone (aldehyde C-14 (so-called)),104-67-6,,MySkinRecipes,1450.0,THB (per kg),1.45
Gamma-valerolactone (FEMA-3103) [MySkinRecipes],Gamma-valerolactone (FEMA-3103),108-29-2,3103.0,MySkinRecipes,7110.0,THB (per kg),7.11
"Gardenia Acetal, Floropal [MySkinRecipes]","Gardenia Acetal, Floropal",5182-36-5,,MySkinRecipes,4850.0,THB (per kg),4.85
Geosmin 1% in DPG [PerfumersWorld],Geosmin 1% in DPG,23333-91-7,,PerfumersWorld,1.39,USD (per g),47.26
Geosmin 1% in TEC [PerfumersWorld],Geosmin 1% in TEC,23333-91-7,,PerfumersWorld,1.42,USD (per g),48.28
Geraniol [PerfumersWorld],Geraniol,106-24-1,,PerfumersWorld,0.12,USD (per g),4.08
Geraniol (98%) (FEMA-2507) [MySkinRecipes],Geraniol (98%) (FEMA-2507),"106-24-1|98.0
25265-71-8|2.0",2507.0,MySkinRecipes,2880.0,THB (per kg),2.88
